Feature,Value,Model,test_set
error,0,ElasticNet(random_state=8278),"('subject_1', 'subject_10', 'subject_25')"
error,0,DummyRegressor(),"('subject_1', 'subject_10', 'subject_25')"
error,0,Lasso(random_state=8278),"('subject_1', 'subject_10', 'subject_25')"
error,0,LassoLars(random_state=8278),"('subject_1', 'subject_10', 'subject_25')"
error,0,BayesianRidge(),"('subject_1', 'subject_10', 'subject_25')"
error,0,HuberRegressor(),"('subject_1', 'subject_10', 'subject_25')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_1', 'subject_10', 'subject_25')"
error,0,DecisionTreeRegressor(random_state=8278),"('subject_1', 'subject_10', 'subject_25')"
error,0,PassiveAggressiveRegressor(random_state=8278),"('subject_1', 'subject_10', 'subject_25')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=5344)","('subject_1', 'subject_10', 'subject_26')"
error,0,GradientBoostingRegressor(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=5344)","('subject_1', 'subject_10', 'subject_26')"
error,0,AdaBoostRegressor(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,LGBMRegressor(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,LinearRegression(n_jobs=-1),"('subject_1', 'subject_10', 'subject_26')"
error,0,Ridge(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,Lars(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,OrthogonalMatchingPursuit(),"('subject_1', 'subject_10', 'subject_26')"
error,0,LassoLars(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,Lasso(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,BayesianRidge(),"('subject_1', 'subject_10', 'subject_26')"
error,0,ElasticNet(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,DummyRegressor(),"('subject_1', 'subject_10', 'subject_26')"
error,0,HuberRegressor(),"('subject_1', 'subject_10', 'subject_26')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_1', 'subject_10', 'subject_26')"
error,0,DecisionTreeRegressor(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,PassiveAggressiveRegressor(random_state=5344),"('subject_1', 'subject_10', 'subject_26')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=4804)","('subject_1', 'subject_10', 'subject_27')"
error,0,GradientBoostingRegressor(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=4804)","('subject_1', 'subject_10', 'subject_27')"
error,0,LGBMRegressor(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,AdaBoostRegressor(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,LinearRegression(n_jobs=-1),"('subject_1', 'subject_10', 'subject_27')"
error,0,Ridge(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,OrthogonalMatchingPursuit(),"('subject_1', 'subject_10', 'subject_27')"
error,0,ElasticNet(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,LassoLars(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,Lasso(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,HuberRegressor(),"('subject_1', 'subject_10', 'subject_27')"
error,0,BayesianRidge(),"('subject_1', 'subject_10', 'subject_27')"
error,0,DummyRegressor(),"('subject_1', 'subject_10', 'subject_27')"
error,0,Lars(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_1', 'subject_10', 'subject_27')"
error,0,DecisionTreeRegressor(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,PassiveAggressiveRegressor(random_state=4804),"('subject_1', 'subject_10', 'subject_27')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=1349)","('subject_1', 'subject_10', 'subject_28')"
error,0,GradientBoostingRegressor(random_state=1349),"('subject_1', 'subject_10', 'subject_28')"
error,0,LGBMRegressor(random_state=1349),"('subject_1', 'subject_10', 'subject_28')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=1349)","('subject_1', 'subject_10', 'subject_28')"
error,0,AdaBoostRegressor(random_state=1349),"('subject_1', 'subject_10', 'subject_28')"
error,0,LinearRegression(n_jobs=-1),"('subject_1', 'subject_10', 'subject_28')"
error,0,Ridge(random_state=1349),"('subject_1', 'subject_10', 'subject_28')"
